method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,3
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,4
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,5
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,6
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,7
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,8
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,9
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,10
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,1
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,2
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,3
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,4
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,5
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,6
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,7
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,8
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,9
Lenma,BGL,2,0.9997,0.8859,0.9394,0.6895,10
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,1
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,2
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,3
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,4
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,5
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,6
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,7
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,8
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,9
Lenma,OpenStack,2,0.9930,0.9958,0.9944,0.7425,10
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,1
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,2
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,3
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,4
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,5
